"ilad";"ilcead";"mahallead";"tapuzeminref";"adano";"parselno";"tapualan";"kadastroalan";"tapucinsaciklama";"HazineParselDurumAciklama";"geom"
ARDAHAN;ÇILDIR;AĞILLI;35094785;"101";"257";28900.67;28900.6673000375;TARLA;HazineTam;POLYGON ((43.029358222311 41.259162982385, 43.030565726219 41.259069432348, 43.031145039019 41.259039303848, 43.031766428741 41.259400650997, 43.032075207014 41.259436690647, 43.031703351017 41.260085793107, 43.031397424905 41.259677590137, 43.031159282761 41.259755177224, 43.030972034194 41.25980637644, 43.030213462407 41.261687266914, 43.029983523183 41.261801424573, 43.029857216847 41.261638230937, 43.029686452143 41.260878107193, 43.030032714547 41.260132626962, 43.029593107713 41.259713729826, 43.029358222311 41.259162982385))
ARDAHAN;ÇILDIR;AĞILLI;35094799;"101";"271";159721.31;159721.307524819;Hali Arazi;HazineTam;POLYGON ((43.024224555596 41.256913909474, 43.024469554041 41.257229392176, 43.024809076971 41.257523323652, 43.025107223325 41.2577959228, 43.025722463493 41.257362931027, 43.0262467037 41.257794324757, 43.0259035607 41.258131162854, 43.025514662371 41.258350274508, 43.025103903724 41.258636659593, 43.025363048023 41.258803087507, 43.02504057677 41.259268433653, 43.025379498401 41.259496251969, 43.025428571161 41.25981860964, 43.025423997997 41.259922917129, 43.026040976725 41.259561760496, 43.026647590382 41.259483960019, 43.02670258142 41.259551450095, 43.025958791607 41.259799929411, 43.025370382681 41.260004340971, 43.023572793531 41.260540950879, 43.022960740209 41.260653359012, 43.022593907215 41.260689842906, 43.022422342818 41.260706763612, 43.022142156813 41.26072140707, 43.021298381662 41.260819296081, 43.020996533099 41.260799193258, 43.020521962129 41.260645020066, 43.02034373436 41.260451254843, 43.021229752742 41.25972036134, 43.022673914765 41.257745637287, 43.024525488732 41.255318532165, 43.026160308166 41.252950728081, 43.027717675063 41.253539128034, 43.026600085615 41.254606444199, 43.026258594967 41.25448361225, 43.025895813997 41.254692858118, 43.025081010387 41.255341113917, 43.025525764434 41.255597009708, 43.024224555596 41.256913909474))
ARDAHAN;ÇILDIR;AĞILLI;35094574;"101";"40";18009.55;18009.5526999992;HAM TOPRAK;HazineTam;POLYGON ((43.046675033542 41.249830200417, 43.046661513172 41.249536251223, 43.046452705988 41.249684284996, 43.045260239607 41.251045724296, 43.044903739078 41.250243998887, 43.045824594777 41.249641280546, 43.046349193365 41.248894490517, 43.046621234763 41.249000966717, 43.048205603785 41.247867349621, 43.047869670753 41.248577945647, 43.047124743971 41.248854484534, 43.046675033542 41.249830200417))
ARDAHAN;ÇILDIR;AĞILLI;35094595;"101";"62";2856.86;2856.86150967338;HAM TOPRAK;HazineTam;POLYGON ((43.042982211063 41.240172751194, 43.043409753103 41.240115257233, 43.043738218938 41.23994479395, 43.043026381156 41.241042493319, 43.042982211063 41.240172751194))
ARDAHAN;ÇILDIR;AĞILLI;35094601;"101";"69";35130.57;35130.5717629504;HALİ ARAZİ;HazineTam;POLYGON ((43.039860020092 41.234434183826, 43.040524765407 41.235020538805, 43.040489516588 41.235813816747, 43.040551686428 41.236759702967, 43.039711868221 41.236693422267, 43.039684358348 41.237150550941, 43.038485219071 41.236530218872, 43.038631507882 41.235420162385, 43.039860020092 41.234434183826))
ARDAHAN;ÇILDIR;AĞILLI;35094604;"101";"72";29776.82;29776.8182958084;HALİ ARAZİ;HazineTam;POLYGON ((43.039659349487 41.240088532894, 43.039413085662 41.240574454599, 43.040263293949 41.241028234018, 43.039859941576 41.242132173832, 43.039834832723 41.242587555778, 43.038327964543 41.24078314411, 43.038137626145 41.239167654033, 43.039659349487 41.240088532894))
ARDAHAN;ÇILDIR;AĞILLI;35094606;"101";"75";14654.34;14654.3428500167;HAM TOPRAK;HazineTam;POLYGON ((43.041038800431 41.242126022596, 43.040332763301 41.242482572295, 43.041098069575 41.243244691048, 43.041045921032 41.243281178823, 43.040768184457 41.243475296156, 43.040556527207 41.24334556998, 43.039834832723 41.242587555778, 43.040223134178 41.242271967467, 43.040632932636 41.241176161854, 43.041230639634 41.241420800677, 43.041459749435 41.241425391455, 43.04163032618 41.241958239253, 43.041038800431 41.242126022596))
ARDAHAN;ÇILDIR;AĞILLI;35094612;"101";"81";59927.31;59927.3052806437;HALİ ARAZİ;HazineTam;POLYGON ((43.041106662224 41.246431418361, 43.040503811922 41.247173849883, 43.039498650518 41.246636023632, 43.040351105637 41.245030374445, 43.040529202844 41.244721276519, 43.04120566 41.243957829809, 43.041902389108 41.244133588779, 43.04218652767 41.243696751481, 43.043268238177 41.243251158362, 43.043005596679 41.242916246025, 43.043787687785 41.242766804138, 43.044390760608 41.243092054108, 43.043091624701 41.24353093044, 43.043266080857 41.243786563536, 43.04354835385 41.244054756726, 43.043310284839 41.244492076392, 43.042460259639 41.244721996142, 43.041106662224 41.246431418361))
ARDAHAN;ÇILDIR;AĞILLI;35094822;"102";"19";9870.01;9870.00980007888;HAM TOPRAK;HazineTam;POLYGON ((43.032015875705 41.272159011029, 43.032614105812 41.272004269789, 43.034141525237 41.272838106569, 43.035430906904 41.273635707059, 43.036103955002 41.273796765767, 43.03635451785 41.273596151919, 43.037036135689 41.274117558616, 43.036728965813 41.274006694738, 43.036479913152 41.274038740689, 43.036363648 41.273894192575, 43.035962241446 41.273854226204, 43.035582612584 41.273780027354, 43.035155148949 41.273677084397, 43.034763464807 41.273572467637, 43.034470105172 41.273443915736, 43.033970225141 41.272934097406, 43.033703456202 41.272871844358, 43.033435824189 41.272595933159, 43.032015875705 41.272159011029))
ARDAHAN;ÇILDIR;AĞILLI;35094832;"102";"29";10219.78;10219.78004991;HAM TOPRAK;HazineTam;POLYGON ((43.038601594976 41.274648998431, 43.038803662206 41.274099911403, 43.038643870724 41.274048319613, 43.037778282222 41.274066750892, 43.037866320652 41.27403399295, 43.038183387295 41.273842860032, 43.038140314682 41.27363273468, 43.03794922216 41.273383155841, 43.039742712225 41.273822123693, 43.040210961562 41.273869936662, 43.038601594976 41.274648998431))
