"ilad";"ilcead";"mahallead";"tapuzeminref";"adano";"parselno";"tapualan";"kadastroalan";"tapucinsaciklama";"HazineParselDurumAciklama";"geom"
AĞRI;DİYADİN;YUKARI DALÖREN;31810418;"108";"64";920.71;920.714946912387;Ham Toprak;HazineTam;POLYGON ((43.623448853019 39.411501609527, 43.623197637378 39.411569202983, 43.622926650244 39.411602462815, 43.622914833758 39.411443554497, 43.622974912444 39.411329998967, 43.623163755811 39.411326100955, 43.623448853019 39.411501609527))
AĞRI;DİYADİN;YUKARI DALÖREN;31810433;"108";"78";6544.84;6544.83931233197;Ham Toprak;HazineTam;POLYGON ((43.623630994273 39.413323450131, 43.625219929264 39.41367452193, 43.625134654401 39.413736145911, 43.624611645145 39.413599024668, 43.6237804241 39.413508475591, 43.622970096405 39.4135310837, 43.622312189083 39.413672127078, 43.622129095415 39.413849567912, 43.622266866766 39.413098446176, 43.622879062934 39.413193104993, 43.623630994273 39.413323450131))
AĞRI;DİYADİN;YUKARI DALÖREN;31810442;"108";"93";7267.38;7267.37735600301;Ham Toprak;HazineTam;POLYGON ((43.622430308278 39.417022593684, 43.622583678067 39.417271370914, 43.620770690966 39.416795215681, 43.620914879253 39.416288142791, 43.62116028789 39.416354773938, 43.621628749435 39.416547825741, 43.621992261482 39.416622096245, 43.622181999176 39.416778735075, 43.622430308278 39.417022593684))
AĞRI;DİYADİN;YUKARI DALÖREN;31810443;"108";"96";3263.36;3263.35852221557;Ham Toprak;HazineTam;POLYGON ((43.625260588613 39.412328695334, 43.625204480738 39.412448900817, 43.624599309999 39.412396902539, 43.623984527429 39.412318866402, 43.624359621705 39.412078161398, 43.624656935864 39.412146912115, 43.625165037987 39.41213329351, 43.625711923992 39.412318159159, 43.625260588613 39.412328695334))
AĞRI;DİYADİN;YUKARI DALÖREN;31810444;"108";"97";5971.63;5971.63395563058;SAZLIK;HazineTam;POLYGON ((43.626071723027 39.408571553605, 43.626199303504 39.408887679415, 43.626002780836 39.408946585123, 43.626020148138 39.409116429777, 43.6257367299 39.409062536536, 43.625254024939 39.409004900428, 43.624662653868 39.409126028641, 43.624666523479 39.408750039443, 43.625118349209004 39.408622335234, 43.626071723027 39.408571553605))
AĞRI;DİYADİN;YUKARI DALÖREN;31810448;"108";"98";1147.22;1147.21927966523;SAZLIK;HazineTam;POLYGON ((43.624621563614 39.409348267221, 43.624208068046 39.40948551049, 43.623941720562 39.409358203775, 43.624662653868 39.409126028641, 43.624621563614 39.409348267221))
AĞRI;DİYADİN;YUKARI DALÖREN;31810445;"108";"99";4314.6;4314.60444452219;SAZLIK;HazineTam;POLYGON ((43.625083797589 39.411698250879, 43.62610657946 39.412293793106, 43.625711923992 39.412318159159, 43.625165037987 39.41213329351, 43.624656935864 39.412146912115, 43.624359621705 39.412078161398, 43.624349794459 39.41198682628, 43.624571741218 39.41186479958, 43.624881237006 39.411874322225, 43.624961740412 39.411826746338, 43.625083797589 39.411698250879))
AĞRI;DİYADİN;YUKARI DALÖREN;31810451;"109";"1";13652.29;13652.2913931558;Ham Toprak;HazineTam;POLYGON ((43.606692498385 39.422264292002, 43.606285958956 39.42244896454, 43.606054085761 39.422606628905, 43.605979570383 39.422883345485, 43.605153007294 39.422586954477, 43.605131626625 39.422418140008, 43.605350082481 39.422259549753, 43.60565805554 39.422035971618, 43.606455513797 39.421713177433, 43.606722230832 39.421553813082, 43.607397195825 39.421274577811, 43.60734322804 39.421381605267, 43.607262358805 39.421537405424, 43.607502224381 39.421778357347, 43.60744407718 39.421814723232, 43.607313478674 39.421873323439, 43.606692498385 39.422264292002))
AĞRI;DİYADİN;YUKARI DALÖREN;31810543;"109";"101";7503.74;7503.74345540163;Ham Toprak;HazineTam;POLYGON ((43.610703782021 39.420506249446, 43.61060102806 39.420688576158, 43.610373405634 39.420711930863, 43.610229239281 39.420694996197, 43.610093555015 39.420655592221, 43.609901208289 39.420560408617, 43.610037144718 39.420287818831, 43.610124079238 39.419958406212, 43.610425427757 39.419678785952, 43.610559225616 39.419554634389, 43.610806471507 39.419536395244, 43.610915612906 39.419552199369, 43.610937166798 39.419907739483, 43.610703782021 39.420506249446))
AĞRI;DİYADİN;YUKARI DALÖREN;31810545;"109";"107";1446.01;1446.00702153624;Ham Toprak;HazineTam;POLYGON ((43.612784610711 39.421347776003, 43.61262056896 39.421507352407, 43.611988578357 39.421157246664, 43.61182539969 39.421107032922, 43.611918243353 39.420987461804, 43.61211612452 39.421074881407, 43.612355749775 39.421176488724, 43.612537258803 39.421236962731, 43.612784610711 39.421347776003))
